Organic class,Compound,Odor (US CDC - ATSDR),Odor (Literature),Similarity between odor description (US CDC versus Current),Odor Threshold Value (ppm),Source,Reference
Aldehydes,(E)-2-Decenal,,"Kerosene, herb",,,Hardwood,"Molecules 2018, 23, 203; doi:10.3390/molecules23010214"
Aldehydes,"(E,E)-2,4-Decadienal","Buttery, Fatty, Orange","Animal, burnt",Different,,Hardwood,"Molecules 2018, 23, 203; doi:10.3390/molecules23010215"
Aldehydes,(Z)-2-Decenal,,"Stink, fat, herb",,,Hardwood,"Molecules 2018, 23, 203; doi:10.3390/molecules23010211"
Aromatics,"1,2,3,4-tetrahydronaphthalene",,,,0.0093,,"Nagata, Takeuchi(2003), Odor Measurement Review"
Aromatics,"1,2,3,4-tetramethylbenzene",,,,0.011,,"Nagata, Takeuchi(2003), Odor Measurement Review"
Aromatics,"1,2,4-trimethylbenzene","Strong, pleasant, solvent",Fragrant,Similar,"0.12
140 ug/m³",Sewage sludge compost," Zhu et al., (2016), Journal of the Air & Waste Management Association, 66:9, 930-940, DOI: 10.1080/10962247.2016.1188927
Nagata, Takeuchi(2003), Odor Measurement Review
Nie et al.(2020) Atmos. Environ.,223, 117233 Supp"
Halocarbons,"1,2-dichloroethane",,,,24700ug/m³,,"Nie et al.(2020) Atmos. Environ.,223, 117233 Supp"
Aromatics,"1,3,5-trimethylbenzene",,,,"0.17
10700 ug/m³",Sewage sludge compost," Zhu et al., (2016), Journal of the Air & Waste Management Association, 66:9, 930-940, DOI: 10.1080/10962247.2016.1188927
Nagata, Takeuchi(2003), Odor Measurement Review
Nie et al.(2020) Atmos. Environ.,223, 117233 Supp"
Alkenes/Alkynes ,"1,3-Butadiene",,,,0.23,,"Nagata, Takeuchi(2003), Odor Measurement Review"
Aromatics,"1,4-diethylbenzene",,,,0.00039,,
Alkenes/Alkynes ,1-Butene,,,,0.36,Sewage sludge compost," Zhu et al., (2016), Journal of the Air & Waste Management Association, 66:9, 930-940, DOI: 10.1080/10962247.2016.1188927
Nagata, Takeuchi(2003), Odor Measurement Review"
Alcohols,1-Butoxy-2-propanol,,,,0.16,,"Nagata, Takeuchi(2003), Odor Measurement Review"
Alkenes/Alkynes ,1-heptene,,,,0.37,,"Nagata, Takeuchi(2003), Odor Measurement Review"
Alkenes/Alkynes ,1-hexene,,,,0.14,,"Nagata, Takeuchi(2003), Odor Measurement Review"
Aromatics,1-methyl-3-ethylbenzene,,,,0.041,,
